"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"2365" 136121 "man" 1926 "Switzerland" "german" NA NA "other self-employed" "intermediate professions" 1028.89599609375 0.913128972053528 "2365"
"2468" 142051 "man" 1944 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" "other self-employed" 1006.22833251953 0.893011748790741 "2468"
"1287" 73231 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "other self-employed" NA 590.763610839844 0.52429336309433 "1287"
"1655" NA "woman" 1957 NA NA NA NA "qualified manual professions" NA 807.4375 0.716588020324707 "1655"
"266" 16851 "man" 1937 "Itally" "french" NA NA "other self-employed" "other self-employed" 2240.17944335938 1.98812389373779 "266"
"1918" 108711 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "other self-employed" 1091.17004394531 0.968396127223969 "1918"
"2232" 126511 "woman" 1933 "Switzerland" "french" "Roman Catholic" "several times a week" NA "other self-employed" 882.356994628906 0.783077895641327 "2232"
"754" NA "woman" 1945 NA NA NA NA "other self-employed" NA 2003.76428222656 1.77830910682678 "754"
"887" 50201 "man" 1950 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 816.564208984375 0.724687814712524 "887"
"1063" NA "woman" 1949 NA NA NA NA "other self-employed" "other self-employed" 741.728942871094 0.658272683620453 "1063"
"2298" 131371 "man" 1934 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" NA "unqualified non-manual and manual workers" 895.165832519531 0.794445514678955 "2298"
"1700" NA "man" 1943 NA NA NA NA NA NA 1874.11047363281 1.6632434129715 "1700"
"586" 33151 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1058.5390625 0.939436733722687 "586"
"817" 46411 "woman" 1933 "Switzerland" "italian" "Roman Catholic" "once a week" "other self-employed" "intermediate professions" 972.086242675781 0.862711131572723 "817"
"2381" 136781 "woman" 1955 "Switzerland" "german" "Roman Catholic" "a few times a year" "academic professions and senior management" NA 830.237060546875 0.736822247505188 "2381"
"1055" 59361 "woman" 1924 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1754.26623535156 1.55688345432281 "1055"
"847" 47781 "woman" 1949 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 691.959228515625 0.614102840423584 "847"
"455" 26171 "woman" 1943 "Bulgaria" NA NA NA NA NA 2566.787109375 2.27798295021057 "455"
"97" 8321 "man" 1931 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "unqualified non-manual and manual workers" NA 929.006408691406 0.824478507041931 "97"
"687" 38571 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified non-manual professions" NA 960.154174804688 0.852121651172638 "687"
"1858" 105551 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 1037.8359375 0.921063005924225 "1858"
"2231" 126461 "man" 1957 "Switzerland" "french" "Protestant or Reformed Church" "every two weeks" "academic professions and senior management" NA 769.583374023438 0.682993054389954 "2231"
"1988" 112091 "woman" 1947 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "qualified non-manual professions" NA 753.9736328125 0.669139683246613 "1988"
"1398" NA "man" 1942 NA NA NA NA "other self-employed" "other self-employed" 1836.19091796875 1.62959039211273 "1398"
"521" 28941 "woman" 1924 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "intermediate professions" NA 1258.12976074219 1.11657023429871 "521"
"1390" 79541 "woman" 1938 "Switzerland" "german" NA NA NA NA 1105.74670410156 0.981332778930664 "1390"
"282" NA "woman" 1926 NA NA NA NA NA NA 1185.38952636719 1.0520144701004 "282"
"1289" 73311 "woman" 1939 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 2411.337890625 2.14002418518066 "1289"
"2122" NA "woman" 1938 NA NA NA NA "other self-employed" NA 1187.34240722656 1.05374753475189 "2122"
"180" 12811 "man" 1950 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "qualified non-manual professions" 996.062255859375 0.88398951292038 "180"
"2412" 138661 "woman" 1947 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "other self-employed" 899.785095214844 0.798545062541962 "2412"
"2364" 136041 "woman" 1944 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" "intermediate professions" 1258.09008789062 1.11653506755829 "2364"
"1253" 71211 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "unqualified non-manual and manual workers" NA 1431.52954101562 1.27045977115631 "1253"
"1923" 108851 "man" 1943 "Switzerland" "german" "no denomination or religion" "a few times a year" "qualified manual professions" NA 991.184387207031 0.879660427570343 "1923"
"425" 24971 "man" 1955 "Switzerland" "german" NA NA "qualified manual professions" NA 812.339050292969 0.720938086509705 "425"
"2559" 146681 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" NA "other self-employed" 1240.99719238281 1.10136544704437 "2559"
"328" NA "man" 1932 NA NA NA NA "other self-employed" NA 1824.54138183594 1.61925160884857 "328"
"2374" 136521 "woman" 1926 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1187.33288574219 1.05373907089233 "2374"
"747" 42741 "man" 1931 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "top management" NA 862.029052734375 0.765037178993225 "747"
"2171" 123251 "man" 1937 "Switzerland" "french" "Roman Catholic" "religious celebrations and family events" "other self-employed" "other self-employed" 1666.43493652344 1.47893464565277 "2171"
"223" 14691 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" "other self-employed" 964.503784179688 0.855981826782227 "223"
"769" 43951 "woman" 1928 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" NA NA 1341.68212890625 1.19072163105011 "769"
"2518" 144551 "man" 1951 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 868.383605957031 0.770676732063293 "2518"
"307" 18831 "man" 1945 "Switzerland" "german" "no denomination or religion" "never" "intermediate professions" NA 1323.17834472656 1.17429983615875 "307"
"1720" 99111 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA NA 611.30859375 0.542526721954346 "1720"
"1900" 107811 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 916.108215332031 0.813031554222107 "1900"
"636" 36041 "man" 1938 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "qualified manual professions" NA 1352.07934570312 1.19994902610779 "636"
"2006" 113241 "man" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA "qualified non-manual professions" 831.834533691406 0.738240003585815 "2006"
"179" 12811 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1092.90625 0.969937026500702 "179"
"1104" 62531 "woman" 1948 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 574.97900390625 0.510284781455994 "1104"
"1169" 66901 "man" 1940 "Switzerland" "italian" NA NA NA NA 2040.61328125 1.81101202964783 "1169"
"338" 20311 "woman" 1951 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "qualified non-manual professions" "intermediate professions" 689.885437011719 0.612262427806854 "338"
"1505" 85751 "woman" 1943 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 1475.16918945312 1.3091893196106 "1505"
"1841" 105061 "woman" 1948 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 910.607543945312 0.808149755001068 "1841"
"2197" 124171 "woman" 1953 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "unqualified non-manual and manual workers" "academic professions and senior management" 827.86767578125 0.734719455242157 "2197"
"1753" 100421 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "qualified manual professions" NA 1623.26440429688 1.44062149524689 "1753"
"1704" 98591 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" NA 0 0 "1704"
"67" 6601 "man" 1956 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "intermediate professions" "other self-employed" 1109.18481445312 0.984384000301361 "67"
"1078" 60851 "man" 1947 "Itally" NA NA NA NA NA 4716.40576171875 4.18573570251465 "1078"
"1831" 104621 "woman" 1952 "Switzerland" NA NA NA NA NA 1734.22595214844 1.53909814357758 "1831"
"584" 33101 "man" 1956 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "unqualified non-manual and manual workers" 797.403625488281 0.707683086395264 "584"
"134" 10031 "man" 1940 "Germany" "french" "Roman Catholic" "a few times a year" "academic professions and senior management" NA 1950.79626464844 1.73130083084106 "134"
"1625" NA "man" 1937 NA NA NA NA NA NA 1619.9375 1.43766891956329 "1625"
"2360" 135931 "man" 1936 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 1341.41625976562 1.19048571586609 "2360"
"1016" 58181 "woman" 1942 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA "other self-employed" 924.849426269531 0.820789217948914 "1016"
"1536" 87511 "woman" 1922 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" "intermediate professions" 1905.27954101562 1.6909054517746 "1536"
"815" 46181 "man" 1953 "Switzerland" "italian" NA NA "other self-employed" NA 788.145263671875 0.699466466903687 "815"
"589" 33241 "man" 1941 "Germany" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 2206.13623046875 1.95791101455688 "589"
"1799" 102641 "man" 1930 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 918.037475585938 0.814743757247925 "1799"
"792" NA "woman" 1921 NA NA NA NA "other self-employed" NA 1496.73645019531 1.32832992076874 "792"
"1066" 60401 "woman" 1953 "Switzerland" "french" "no denomination or religion" "a few times a year" "qualified non-manual professions" NA 716.8427734375 0.636186599731445 "1066"
"2028" 114331 "man" 1949 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" "other self-employed" 842.353820800781 0.747575700283051 "2028"
"533" 29701 "man" 1947 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 1092.49865722656 0.96957528591156 "533"
"600" 33611 "man" 1954 "Switzerland" "german" NA NA "other self-employed" NA 729.025939941406 0.646999001502991 "600"
"39" 5301 "woman" 1934 "Switzerland" "french" "Roman Catholic" "once a week" NA NA 1000.36895751953 0.887811660766602 "39"
"2104" 118731 "woman" 1937 "Switzerland" NA NA NA NA NA 1517.689453125 1.34692537784576 "2104"
"1961" NA "woman" 1947 NA NA NA NA "other self-employed" "other self-employed" 797.559448242188 0.707821369171143 "1961"
"512" 28551 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 1129.51977539062 1.00243091583252 "512"
"1443" 82581 "woman" 1933 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1150.14953613281 1.02073955535889 "1443"
"1884" 106821 "woman" 1940 "Switzerland" "german" NA NA NA NA 2363.56811523438 2.09762930870056 "1884"
"685" 38461 "man" 1948 "Switzerland" "german" "Roman Catholic" "a few times a year" "top management" NA 771.804138183594 0.684963941574097 "685"
"2081" 117561 "woman" 1951 "Switzerland" "french" "Jewish" "only for family ceremonies" "academic professions and senior management" NA 649.662536621094 0.576565265655518 "2081"
"989" 56431 "man" 1950 "Switzerland" "french" "Roman Catholic" "never" "top management" NA 751.322448730469 0.666786789894104 "989"
"1766" 101161 "woman" 1956 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "intermediate professions" 738.674499511719 0.655561923980713 "1766"
"1882" NA "man" 1953 NA NA NA NA "qualified non-manual professions" "qualified non-manual professions" 913.36181640625 0.810594141483307 "1882"
"779" 44531 "woman" 1957 "Switzerland" "italian" "Christian Catholic" "a few times a year" "other self-employed" NA 886.682800292969 0.786916971206665 "779"
"744" 42271 "man" 1924 "Switzerland" "german" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" NA 914.559631347656 0.811657249927521 "744"
"1888" 106921 "man" 1955 "Switzerland" "german" "no denomination or religion" "a few times a year" "academic professions and senior management" NA 1055.080078125 0.93636691570282 "1888"
"2424" 139481 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1170.48608398438 1.03878796100616 "2424"
"1133" 63941 "woman" 1949 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "academic professions and senior management" NA 791.756530761719 0.702671408653259 "1133"
"2161" NA "woman" 1923 NA NA NA NA "academic professions and senior management" NA 905.359191894531 0.803491950035095 "2161"
"1601" NA "man" 1951 NA NA NA NA NA NA 2727.3046875 2.42043995857239 "1601"
"862" 48451 "woman" 1946 "Switzerland" "french" "Roman Catholic" "once a week" "qualified manual professions" NA 721.216369628906 0.640068113803864 "862"
"2102" 118581 "woman" 1946 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 907.817932128906 0.805674076080322 "2102"
"279" 17721 "woman" 1944 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 888.065979003906 0.788144528865814 "279"
"1084" 60931 "man" 1931 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 748.845520019531 0.664588570594788 "1084"
"2139" 122031 "man" 1956 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 0 0 "2139"
"1428" 82091 "man" 1952 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 856.790222167969 0.760387778282166 "1428"
"2152" 122621 "man" 1946 "Switzerland" "french" "Roman Catholic" "once a week" "intermediate professions" NA 645.940368652344 0.573261857032776 "2152"
"103" 8481 "woman" 1930 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "unqualified non-manual and manual workers" NA 1304.4072265625 1.15764081478119 "103"
"596" 33411 "man" 1953 "Netherlands and territories" "german" "no denomination or religion" "only for family ceremonies" "top management" "unqualified non-manual and manual workers" 1881.47143554688 1.66977608203888 "596"
"10" 3331 "man" 1943 "Switzerland" "french" "Roman Catholic" "about once a month" "unqualified non-manual and manual workers" NA 2302.64038085938 2.04355692863464 "10"
"139" 10231 "woman" 1929 "Switzerland" "french" "other" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1138.69470214844 1.01057350635529 "139"
"131" 9911 "man" 1925 "Switzerland" "french" "no denomination or religion" "never" "unqualified non-manual and manual workers" NA 1266.82556152344 1.12428772449493 "131"
"2093" NA "man" 1947 NA NA NA NA NA NA 1497.77282714844 1.32924973964691 "2093"
"1409" 80561 "man" 1928 "Switzerland" NA NA NA "other self-employed" NA 896.959899902344 0.79603773355484 "1409"
"2552" 146361 "woman" 1927 "Switzerland" "german" "Roman Catholic" "once a week" "qualified manual professions" NA 1385.63586425781 1.22972989082336 "2552"
"219" 14461 "woman" 1948 "Switzerland" "german" NA NA "intermediate professions" "qualified non-manual professions" 764.480834960938 0.678464651107788 "219"
"2127" 120901 "man" 1923 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 828.819458007812 0.735564172267914 "2127"
"390" 23401 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for religious celebrations" "other self-employed" NA 1320.14221191406 1.17160534858704 "390"
"875" 49451 "woman" 1955 "Switzerland" "french" "Protestant or Reformed Church" "several times a week" "qualified manual professions" "qualified non-manual professions" 641.800598144531 0.569587886333466 "875"
"570" 31991 "man" 1957 "Switzerland" "german" "Roman Catholic" "a few times a year" "intermediate professions" NA 888.093505859375 0.788168966770172 "570"
"2238" 127041 "man" 1924 "Germany" "french" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 1952.68957519531 1.73298120498657 "2238"
"2255" 128011 "man" 1933 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 768.093139648438 0.681670486927032 "2255"
"1855" 105521 "woman" 1930 "Switzerland" "german" NA NA "other self-employed" "other self-employed" 1034.06530761719 0.917716562747955 "1855"
"1492" 85151 "man" 1937 "Switzerland" NA NA NA "qualified manual professions" NA 1357.31030273438 1.20459151268005 "1492"
"224" 14741 "man" 1948 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "other self-employed" 1251.89672851562 1.11103856563568 "224"
"2542" NA "woman" 1909 NA NA NA NA NA NA 2422.00341796875 2.14948987960815 "2542"
"752" 42961 "woman" 1938 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" NA 1148.32153320312 1.01911723613739 "752"
"1926" 109001 "woman" 1954 "United Kingdom and territories" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 1889.94763183594 1.6772985458374 "1926"
"452" 26091 "woman" 1936 "Switzerland" "german" "Protestant or Reformed Church" "once a week" NA "other self-employed" 2456.759765625 2.180335521698 "452"
"1594" 91261 "woman" 1932 "Switzerland" "german" "other" "several times a week" "qualified non-manual professions" "qualified non-manual professions" 1127.89868164062 1.00099229812622 "1594"
"1319" 74941 "woman" 1936 "Switzerland" "german" NA NA "academic professions and senior management" "intermediate professions" 986.484741210938 0.87548965215683 "1319"
"2000" 112981 "man" 1933 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified non-manual professions" "unqualified non-manual and manual workers" 1027.22314453125 0.911644279956818 "2000"
"2416" 138751 "man" 1946 "Switzerland" "german" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" NA 822.549072265625 0.729999303817749 "2416"
"1804" 102921 "woman" 1933 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 1101.17456054688 0.977275013923645 "1804"
"1069" 60461 "man" 1956 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" "qualified non-manual professions" 1054.27575683594 0.935653030872345 "1069"
"1653" 94541 "woman" 1947 "Switzerland" "italian" "other Christian denomination" "once a week" NA NA 1133.73181152344 1.00616908073425 "1653"
"1100" 62341 "woman" 1927 "Switzerland" "german" "no denomination or religion" "never" NA NA 1754.26623535156 1.55688345432281 "1100"
"809" 46031 "woman" 1942 "Switzerland" "italian" "Roman Catholic" "once a week" "other self-employed" NA 1262.82446289062 1.1207367181778 "809"
"923" 52591 "woman" 1947 "Switzerland" "french" "Roman Catholic" "a few times a year" "liberal professions" NA 628.567443847656 0.557843685150146 "923"
"1770" NA "woman" 1936 NA NA NA NA NA NA 1053.84094238281 0.935267150402069 "1770"
"1377" 78511 "woman" 1923 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "liberal professions" NA 1353.90771484375 1.20157170295715 "1377"
"160" 11811 "man" 1938 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 877.647827148438 0.778898596763611 "160"
"2037" 115251 "woman" 1920 "Switzerland" "french" "Roman Catholic" "once a week" "intermediate professions" "other self-employed" 1628.12573242188 1.44493579864502 "2037"
"1832" 104621 "man" 1954 "Switzerland" "german" "no denomination or religion" "a few times a year" "qualified non-manual professions" NA 932.228576660156 0.827338099479675 "1832"
"1727" 99331 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 907.31396484375 0.805226802825928 "1727"
"565" 31881 "man" 1945 "Switzerland" "german" "Protestant or Reformed Church" "only for religious celebrations" "intermediate professions" NA 897.157775878906 0.796213328838348 "565"
"1173" 67141 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 570.073120117188 0.50593090057373 "1173"
"1931" NA "man" 1952 NA NA NA NA NA "unqualified non-manual and manual workers" 932.228576660156 0.827338099479675 "1931"
"944" 53921 "man" 1929 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 841.839477539062 0.747119188308716 "944"
"1916" 108631 "man" 1949 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "unqualified non-manual and manual workers" NA 759.431457519531 0.673983454704285 "1916"
"1411" 80601 "man" 1929 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1351.70825195312 1.19961965084076 "1411"
"1486" 84781 "woman" 1953 "Switzerland" "german" "Roman Catholic" "every two weeks" "other self-employed" NA 723.024291992188 0.641672611236572 "1486"
"1038" 58871 "man" 1943 "Switzerland" "french" NA NA NA NA 2353.931640625 2.08907699584961 "1038"
"1677" 96531 "woman" 1953 "Switzerland" "italian" "Roman Catholic" "a few times a year" "intermediate professions" NA 733.528198242188 0.650994718074799 "1677"
"2343" 134301 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1590.71081542969 1.41173076629639 "2343"
"753" 42971 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 766.590209960938 0.680336654186249 "753"
"807" 45751 "woman" 1937 "Switzerland" "italian" "Roman Catholic" "a few times a year" "qualified manual professions" NA 1210.18835449219 1.07402300834656 "807"
"2014" 113641 "woman" 1944 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1152.54956054688 1.02286946773529 "2014"
"2243" 127171 "woman" 1939 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" "other self-employed" 1362.27795410156 1.20900011062622 "2243"
"2408" 138301 "man" 1951 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 920.605285644531 0.817022621631622 "2408"
"2103" 118731 "man" 1933 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 760.792785644531 0.675191581249237 "2103"
"2314" 132231 "woman" 1931 "Switzerland" NA NA NA NA NA 2205.998046875 1.95778846740723 "2314"
"1044" 58971 "woman" 1953 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 838.303283691406 0.743980944156647 "1044"
"1138" 64471 "woman" 1932 "Switzerland" NA NA NA NA NA 1924.97180175781 1.7083820104599 "1138"
"985" 56051 "woman" 1953 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" "qualified non-manual professions" 865.354064941406 0.767988085746765 "985"
"1433" 82311 "man" 1944 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 970.4384765625 0.861248791217804 "1433"
"241" 15651 "woman" 1948 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 767.479614257812 0.681125998497009 "241"
"2010" 113381 "woman" 1926 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" "other self-employed" 792.74267578125 0.703546583652496 "2010"
"1661" 95851 "woman" 1915 "Switzerland" NA NA NA NA "other self-employed" 2660.31884765625 2.36099100112915 "1661"
"1530" 86911 "woman" 1948 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 778.897888183594 0.691259562969208 "1530"
"522" 29101 "man" 1949 "Switzerland" "german" NA NA "unqualified non-manual and manual workers" NA 1624.552734375 1.44176495075226 "522"
"592" 33261 "woman" 1944 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "intermediate professions" NA 1270.25952148438 1.12733519077301 "592"
"1945" NA "man" 1956 NA NA NA NA "other self-employed" NA 0 0 "1945"
"1716" 98991 "man" 1929 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "other self-employed" 837.414245605469 0.74319189786911 "1716"
"447" 25801 "man" 1954 "Switzerland" "german" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" NA 687.28466796875 0.609954297542572 "447"
"813" 46121 "man" 1933 "Switzerland" "italian" "Roman Catholic" "religious celebrations and family events" "other self-employed" "other self-employed" 967.419982910156 0.858569920063019 "813"
"2471" 142101 "man" 1946 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 842.439147949219 0.74765145778656 "2471"
"2368" 136141 "woman" 1935 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1485.55688476562 1.31840825080872 "2368"
"1070" 60471 "man" 1951 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 702.924987792969 0.623834848403931 "1070"
"1740" 99741 "man" 1939 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "intermediate professions" "intermediate professions" 993.545532226562 0.881755948066711 "1740"
"8" NA "woman" 1952 NA NA NA NA "intermediate professions" NA 817.636108398438 0.72563910484314 "8"
"822" 46671 "man" 1943 "Switzerland" "italian" "Christian Catholic" "a few times a year" NA NA 0 0 "822"
"2538" 145711 "man" 1938 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 840.798950195312 0.746195793151855 "2538"
"1786" 102171 "woman" 1932 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" "other self-employed" 964.503784179688 0.855981826782227 "1786"
"100" 8361 "woman" 1933 "Switzerland" "french" "Protestant or Reformed Church" "never" "other self-employed" "intermediate professions" 1599.88073730469 1.41986882686615 "100"
"1686" 97851 "man" 1931 "Switzerland" "german" "Roman Catholic" "once a week" NA "unqualified non-manual and manual workers" 830.457824707031 0.737018167972565 "1686"
"2192" 123941 "man" 1945 "Switzerland" "french" "no denomination or religion" "never" "intermediate professions" NA 1285.01843261719 1.14043354988098 "2192"
"1617" 92801 "woman" 1928 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1208.85827636719 1.07284259796143 "1617"
"381" 22651 "man" 1937 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" NA NA 1081.30114746094 0.959637701511383 "381"
"2291" 130921 "man" 1957 "Switzerland" "german" NA NA NA "other self-employed" 1104.42639160156 0.98016095161438 "2291"
"2293" 130971 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "unqualified non-manual and manual workers" NA 829.61962890625 0.736274302005768 "2293"
"42" 5371 "man" 1947 "Switzerland" NA NA NA NA NA 1431.326171875 1.27027928829193 "42"
"1159" 66511 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 575.205200195312 0.510485529899597 "1159"
"566" 31881 "woman" 1951 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 737.929077148438 0.654900372028351 "566"
"897" 50941 "woman" 1942 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 1225.54309082031 1.08765017986298 "897"
"439" 25581 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" "qualified non-manual professions" 1453.93420410156 1.2903436422348 "439"
"1871" NA "woman" 1956 NA NA NA NA "unqualified non-manual and manual workers" "qualified non-manual professions" 652.979187011719 0.579508721828461 "1871"
"1614" 92541 "man" 1947 "Switzerland" "german" "Roman Catholic" "a few times a year" "intermediate professions" NA 706.236755371094 0.626773953437805 "1614"
"582" 32931 "woman" 1934 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 987.983581542969 0.876819849014282 "582"
"766" 43591 "man" 1950 "Switzerland" "italian" "Protestant or Reformed Church" "a few times a year" "liberal professions" NA 1619.04040527344 1.43687272071838 "766"
"2277" 129821 "woman" 1948 "Switzerland" "german" "Roman Catholic" "a few times a year" "intermediate professions" "intermediate professions" 670.732116699219 0.595264136791229 "2277"
